session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
5f1ee92e88525803a35f0eaf,5eabdf04f43b441db51e1ea6,APPROVED,2020-07-27 14:48:14.405000,2020-07-27 17:00:07.414000,7913.009,37,81,0,100,2020-07-29 07:46:03.927000,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Male,No
5f1ee9dffdf93b0417b5e22a,5ed793104268812282fdc90d,APPROVED,2020-07-27 14:51:11.302000,2020-07-27 16:59:54.009000,7722.707,28,44,1,100,2020-07-28 13:57:02.227000,6668AF37,United Kingdom,United Kingdom,"London, England ",Part-Time,English,United Kingdom,Female,Yes
5f1ee9e285603804ddba4f4e,5ebc73c49d02ed000cd7c9de,APPROVED,2020-07-27 14:51:14.890000,2020-07-27 16:30:37.847000,5962.957,30,68,1,100,2020-07-29 07:46:05.469000,6668AF37,United Kingdom,United Kingdom,"London, England ",Full-Time,English,United Kingdom,Female,No
5f1ee9e5ba581e04b50071d9,57ea425e5b88f5000106bb9f,APPROVED,2020-07-27 14:53:00.464000,2020-07-27 16:02:09.632000,4149.168,52,830,1,100,2020-07-29 07:46:07.564000,6668AF37,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,English,United Kingdom,Male,No
5f1ee9e75842df03811cbb45,5e740451f1e6520f51f3eece,APPROVED,2020-07-27 14:51:19.218000,2020-07-27 15:58:14.349000,4015.131,46,111,1,100,2020-07-29 07:46:09.182000,6668AF37,United Kingdom,United Kingdom,Scotland,Part-Time,English,United Kingdom,Female,No
5f1ee9e7eed22803de351134,5eebc3207c83c63a3a73d77d,APPROVED,2020-07-27 14:53:56.665000,2020-07-27 15:46:08.491000,3131.826,29,32,0,100,2020-07-29 07:46:11.126000,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Female,No
5f1eed2b87077a0593d2f2b7,5ea963e404c8da03b9ce62fe,APPROVED,2020-07-27 15:05:15.738000,2020-07-27 15:55:14.606000,2998.868,19,80,0,100,2020-07-29 07:46:13.002000,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),English,United Kingdom,Male,Yes
5f1eed2e9d56ba04ce200318,5ea2cf6f2888de038404188d,APPROVED,2020-07-27 15:05:18.325000,2020-07-27 17:01:43.006000,6984.681,51,70,0,100,2020-07-29 07:46:14.872000,6668AF37,United Kingdom,United Kingdom,Wales,Part-Time,English,United Kingdom,Female,No
5f1eed2efee073056c76252e,5b91169681ddad0001110f5d,APPROVED,2020-07-27 15:05:35.125000,2020-07-27 16:04:24.562000,3529.437,60,323,2,100,2020-07-29 07:46:16.824000,6668AF37,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
5f1eed3023cea404ba84b51a,5ecb63933ef3466b89e40581,APPROVED,2020-07-27 15:05:41.869000,2020-07-27 16:23:58.927000,4697.058,29,71,1,100,2020-07-29 07:46:18.982000,6668AF37,United Kingdom,United Kingdom,"London, England ",Full-Time,English,United Kingdom,Male,No
5f1eed31c19b6d0447a00949,5ea300a5733c8107ec2478a3,APPROVED,2020-07-27 15:05:24.674000,2020-07-27 15:59:14.984000,3230.31,23,99,0,100,2020-07-29 07:46:21.087000,6668AF37,United Kingdom,United Kingdom,"London, England ",Part-Time,English,United Kingdom,Female,No
5f1eed9d0d1bdb04fca89c02,598b66390ea3200001521202,APPROVED,2020-07-27 15:12:01.750000,2020-07-27 16:23:13.118000,4271.368,59,679,2,100,2020-07-29 07:46:23.012000,6668AF37,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5f1eed9e23cea404ba84b51c,5e8d96efe32229018dec69dd,APPROVED,2020-07-27 15:07:41.053000,2020-07-27 16:00:38.562000,3177.509,48,118,0,100,2020-07-29 07:46:25.255000,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Part-Time,English,United Kingdom,Female,No
5f1eeda59d56ba057d38d39c,5cebd58ade266200191eaf7d,APPROVED,2020-07-27 15:13:55.601000,2020-07-27 16:23:58.483000,4202.882,51,432,8,98,2020-07-29 07:46:27.228000,6668AF37,United Kingdom,United Kingdom,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",Full-Time,English,United Kingdom,Male,No
5f1eeda7d348da052d27c0f9,5ee38c01afe0950166a4ffb4,AWAITING REVIEW,2020-07-27 15:07:19.568000,2020-07-27 16:17:55.550000,4235.982,28,52,0,100,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,United Kingdom,Female,No
5f1eeda86121f804fcc9f679,58a9acb966e4640001c53a7f,AWAITING REVIEW,2020-07-27 15:07:20.376000,2020-07-27 16:25:22.136000,4681.76,29,334,0,100,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Unemployed (and job seeking),English,United Kingdom,Male,No
