session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current UK area of residence,Employment Status,First Language,Nationality,Sex,Student Status
6066cabf0723b71aa1b54481,5d445f038dd58b001afdeb32,AWAITING REVIEW,2021-04-02 07:41:51.424000,2021-04-02 08:52:55.799000,4264.375,47,376,5,98,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Full-Time,English,United Kingdom,Male,No
6066cd357328d80e97e882e6,5f0cb319d29147695796a208,AWAITING REVIEW,2021-04-02 07:54:20.094000,2021-04-02 09:03:20.314000,4140.22,37,182,1,100,,6668AF37,Italy,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Full-Time,Italian,Italy,Male,No
6066cd47009c97c3c93531ff,5aeae53b852ddf0001ced74a,RETURNED,2021-04-02 08:02:39.686000,,17228.762224,30,871,8,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6066cd5a5ba33a574e0471db,60435c1d1d1a6f2effcfb8f1,AWAITING REVIEW,2021-04-02 07:54:48.438000,2021-04-02 09:35:33.118000,6044.68,41,5,0,100,,6668AF37,United Kingdom,United Kingdom,Scotland,Full-Time,,United Kingdom,Male,No
6066dfb648406d098f5ba05e,5eaecbf2df23cb5adb9d7523,RETURNED,2021-04-02 09:11:41.377000,,13087.079739,31,172,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6066e38eaf6d0ebfa77eaedd,5e1b6da99debf5393dfba2dc,AWAITING REVIEW,2021-04-02 09:28:00.688000,2021-04-02 10:53:50.301000,5149.613,44,314,3,99,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
6066eeb2649067f81b3cf150,5caa2e430adbf40001d85452,AWAITING REVIEW,2021-04-02 10:15:14.004000,2021-04-02 10:20:27.858000,313.854,55,230,3,99,,NOCODE,United Kingdom,United Kingdom,Wales,Full-Time,English,United Kingdom,Male,No
606701462efadcce8d6c065b,5f0a14c3d362030c483654a3,AWAITING REVIEW,2021-04-02 11:34:30.887000,2021-04-02 12:19:30.199000,2699.312,18,270,3,99,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)","Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,Yes
6067014729c14be92916fcd4,5bc497db36f2b300010b9df8,RETURNED,2021-04-02 11:34:31.381000,,4517.104846,32,557,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6067014f0de6bbd14ffafcde,60285bb5b23caa1abb3e0d2f,ACTIVE,2021-04-02 11:35:04.590000,,4483.895922,25,18,0,100,,,United Kingdom,United Kingdom,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Full-Time,DATA EXPIRED,United Kingdom,Male,No
6067014f521a0528ef7dc0ba,603a22c4ca68cf536c9f9f25,AWAITING REVIEW,2021-04-02 11:36:38.206000,2021-04-02 12:25:34.626000,2936.42,21,29,1,100,,6668AF37,United Kingdom,United Kingdom,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Part-Time,DATA EXPIRED,United Kingdom,Female,No
60670150da68565a4b1a442e,5ae870c64357bd0001c57edd,ACTIVE,2021-04-02 11:36:05.632000,,4422.870912,41,798,1,100,,,United Kingdom,United Kingdom,Scotland,Full-Time,English,United Kingdom,Male,No
6067015229c14be92916fcd5,5f58e8f22846f809fda94bda,AWAITING REVIEW,2021-04-02 11:34:42.793000,2021-04-02 12:24:12.883000,2970.09,25,124,1,100,,6668AF37,United Kingdom,United Kingdom,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Unemployed (and job seeking),DATA EXPIRED,United Kingdom,Male,No
6067015299f6985eeff0cbe1,5f9aecbce8bb2a105514c476,AWAITING REVIEW,2021-04-02 11:41:50.659000,2021-04-02 12:29:21.523000,2850.864,21,59,0,100,,6668AF37,United Kingdom,United Kingdom,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",Other,DATA EXPIRED,United Kingdom,Female,Yes
60670154e9a460b1013ad792,605bb9fc09fc4deb9b0a5f19,ACTIVE,2021-04-02 11:36:27.510000,,4401.016188,19,6,0,100,,,United Kingdom,United Kingdom,"East Midlands, England (Derbyshire and Nottinghamshire, Leicestershire, Rutland and Northamptonshire, Lincolnshire)",Other,,United Kingdom,Female,Yes
